Status,Version,Team,Effective from,Effective to,Preferred formation,Alternative formations,Philosophy summary,Attacking style,Build up style,Defensive style,Possession tendency,Build up patience,Passing directness,Attacking tempo,Attacking width,Crossing tendency,Counterattack tendency,Attacking risk,Pressing intensity,Defensive block height,Defensive line height,Defensive compactness,Transition defence,Defensive aggression,Set piece emphasis,Rotation tendency,Tactical flexibility,Youth usage,Source urls,Research notes,Manager,Nationality
Approved,1,Angers,2026,,4-2-3-1,"4-4-2, 3-5-2","Pragmatic, organised football from a compact mid-to-low block geared toward survival on a modest budget; ratings extrapolated as he steps up from an internal assistant role.",Pragmatic organised,Mixed progression,Compact mid-to-low block,42,35,58,48,50,48,55,38,52,35,35,55,52,52,50,38,50,45,https://www.transfermarkt.com,Qualitative Scouting Synthesis. Sources: Transfermarkt. Newly elevated to senior post; ratings extrapolated for a modest-budget survival-focused Ligue 1 side - low confidence.,Stephane Gilli,France
Approved,1,Auxerre,2026,,4-2-3-1 / 4-3-3,"3-4-3, 4-4-2","High-tempo, direct football built on an aggressive high press, the young, energetic identity he has carried across Reims, Lens and Southampton.",High-tempo pressing,Direct/mixed progression,Aggressive high press,52,42,58,62,55,45,55,55,70,55,52,45,68,50,50,48,58,50,https://www.transfermarkt.com,"Qualitative Scouting Synthesis. Sources: Ligue 1/EFL archive (Reims/Lens/Southampton tenures). Known for young, energetic, high-press identity across multiple leagues.",Will Still,Belgium
Approved,1,Brest,2026,,4-2-3-1 / 4-3-3,"3-4-3, 4-4-2","Balanced, organised football from a compact mid-block, continuing Brest's established identity after an internal promotion from the assistant's role.",Balanced organised,Mixed progression,Compact mid-block,48,42,55,52,52,45,52,45,55,42,42,54,52,50,50,42,55,45,https://www.transfermarkt.com,Qualitative Scouting Synthesis. Sources: Transfermarkt. Promoted internally to continue Brest's established organisational identity - low confidence at senior level.,Julien Lachuer,France
Approved,1,Le Havre,2024,,4-2-3-1,"4-3-3, 3-4-3","A modern, possession-inclined approach from an organised mid-block that has stabilised Le Havre's place in the top flight.",Progressive possession,Mixed progression,Organised mid-block,52,48,50,52,55,42,48,50,55,48,46,50,52,45,50,42,55,48,https://www.transfermarkt.com,"Qualitative Scouting Synthesis. Sources: Transfermarkt, Ligue 1 archive. Modern, possession-inclined approach that stabilised Le Havre's top-flight status.",Didier Digard,France
Approved,1,Le Mans,2026,,4-2-3-1 / 4-4-2,"3-5-2, 4-3-3","Organised, pragmatic football from a compact deep block, geared toward stabilising a side newly promoted after a 16-year top-flight absence.",Organised pragmatic,Direct/mixed progression,Compact deep block,42,35,58,48,50,50,58,38,52,32,32,58,55,52,50,32,50,40,https://www.transfermarkt.com,Qualitative Scouting Synthesis. Sources: Transfermarkt. Newly promoted after a 16-year absence; no top-flight track record - low confidence.,Patrick Videira,Portugal
Approved,1,Lens,2026,,4-2-3-1 / 3-4-3,"4-3-3, 3-5-2","Progressive, possession-oriented pressing football carried over from Eintracht Frankfurt's expansive style, applied to a well-drilled, Coupe de France-winning Lens squad.",Progressive possession press,Mixed/direct progression,High press coordinated,55,48,52,58,58,45,52,55,65,55,55,48,62,50,52,45,60,42,https://www.transfermarkt.com,"Qualitative Scouting Synthesis. Sources: Bundesliga archive, Transfermarkt. Carries Frankfurt's expansive, press-oriented approach into a well-drilled Lens squad; inherited a Coupe de France-winning side.",Dino Toppmoller,Germany
Approved,1,Lille,2026,,4-3-2003,"4-2-3-1, 3-4-3","Positional, patient possession-based build-up with a coordinated high press, extrapolated from the Ancelotti coaching lineage after a short, unsettled spell at Botafogo.",Positional possession,Patient build-up,High press coordinated,58,55,45,55,58,42,45,55,62,58,58,48,58,45,52,45,58,45,https://www.transfermarkt.com,"Qualitative Scouting Synthesis. Sources: Transfermarkt. Short, unsettled Botafogo spell; ratings extrapolated from Ancelotti coaching lineage's possession-based principles - low confidence.",Davide Ancelotti,Italy
Approved,1,Lorient,2026,,4-2-3-1,"4-4-2, 3-5-2","Balanced, pragmatic football from an organised mid-block with a strong emphasis on the academy pathway, following his internal promotion from Lorient's B team.",Balanced pragmatic,Mixed progression,Organised mid-block,46,40,55,50,52,45,52,42,54,42,42,54,52,50,50,40,52,58,https://www.transfermarkt.com,"Qualitative Scouting Synthesis. Sources: Transfermarkt. Internal academy promotion; strong expected youth-pathway usage, otherwise limited senior-level data - low confidence.",Alexandre Dujeux,France
Approved,1,Olympique Lyonnais,2025,,4-2-3-1 / 4-3-3,"3-4-3, 4-4-2","Progressive, attacking possession football from a patient, structured build-up and a coordinated mid-to-high press — an established identity he retains as the only top-five club to keep its coach through the summer overhaul.",Progressive attacking possession,Patient structured build-up,Mid-to-high press coordinated,58,58,45,55,58,45,48,58,62,55,55,50,58,48,52,45,60,40,https://fbref.com,"Qualitative Scouting Synthesis. Sources: FBref, Ligue 1 archive. Established, patient, possession-based approach; only top-five club to retain its coach across the summer overhaul.",Paulo Fonseca,Portugal
Approved,1,Olympique Marseille,2026,,4-2-3-1 / 4-3-3,"3-4-3, 4-4-2","A pragmatic-but-progressive, balanced approach with a coordinated mid-to-high press, the identity that took Lille back into the Champions League — now tasked with restoring Marseille amid financial sanctions.",Progressive balanced,Mixed progression,Mid-to-high press coordinated,55,52,48,55,58,45,48,55,60,55,52,48,58,48,52,42,58,38,https://www.transfermarkt.com,"Qualitative Scouting Synthesis. Sources: Ligue 1 archive, Transfermarkt. Experienced, pragmatic-but-progressive identity that guided Lille back into the Champions League; tasked with restoring Marseille amid financial sanctions.",Bruno Genesio,France
