Status,Version,Team,Effective from,Effective to,Preferred formation,Alternative formations,Philosophy summary,Attacking style,Build up style,Defensive style,Possession tendency,Build up patience,Passing directness,Attacking tempo,Attacking width,Crossing tendency,Counterattack tendency,Attacking risk,Pressing intensity,Defensive block height,Defensive line height,Defensive compactness,Transition defence,Defensive aggression,Set piece emphasis,Rotation tendency,Tactical flexibility,Youth usage,Source urls,Research notes,Manager,Nationality
Approved,1,Arsenal,Dec 2019,,4-3-2003,"4-2-3-1, 3-4-3","Patient, possession-based positional play combined with a high mid-block press; anchored by a heavy set-piece program and, historically, conservative squad rotation.",Positional overload,Patient possession,High press mid-block,72,68,45,58,62,48,35,55,72,68,58,60,62,60,78,42,68,32,"https://fbref.com, https://www.transfermarkt.com, https://totalfootballanalysis.com","Qualitative Scouting Synthesis. Sources: FBref, Transfermarkt, Total Football Analysis. Long-tenured possession-and-press identity; heavy set-piece investment; conservative rotation historically though rising with squad depth.",Mikel Arteta,Spain
Approved,1,Aston Villa,Oct 2022,,4-4-2 / 4-2-3-1,"3-4-2-1, 4-3-3","Opposition-tailored, structured game plans built around controlled circulation and a compact mid-block, with sharp counterattacking and set-piece output relative to squad size.",Structured transitions,Controlled circulation,Compact mid-block,55,52,48,52,55,45,55,50,58,50,50,58,55,58,52,55,72,28,"https://fbref.com, https://wyscout.com, https://www.coachesvoice.com","Qualitative Scouting Synthesis. Sources: FBref, Wyscout, Coaches' Voice. Known for meticulous opposition-specific game-plans and mid-game tactical tweaks; strong counter and set-piece output relative to squad size.",Unai Emery,Spain
Approved,1,Bournemouth,Jun 2026,,4-2-3-1,"3-4-3, 4-3-3","Vertical gegenpressing built on direct progression and an aggressive high counter-press, in the RB Leipzig/Gladbach coaching lineage; ratings currently extrapolated pending Premier League data.",Vertical gegenpress,Direct progression,High counter-press,50,35,62,68,58,50,68,62,78,58,60,42,75,55,42,45,60,45,https://www.transfermarkt.com,"Qualitative Scouting Synthesis. Sources: Transfermarkt, Bundesliga tactical archive. New to club; ratings extrapolated from German coaching lineage (RB/Gladbach-style vertical pressing) pending Premier League data.",Marco Rose,Germany
Approved,1,Brentford,Jun 2025,,3-5-2 / 4-3-3,"4-2-3-1, 3-4-3","Data-driven, set-piece-centric approach within a compact organised block, continuing Brentford's club-wide identity of maximising dead-ball situations.",Direct set-piece focus,Mixed progression,Compact organised block,48,40,58,52,55,60,55,52,55,42,45,55,50,55,88,35,58,40,"https://fbref.com, https://www.optasports.com","Qualitative Scouting Synthesis. Sources: Opta, FBref. Inherits Brentford's data-driven identity; set-piece emphasis is a defining, club-wide trait.",Keith Andrews,Ireland
Approved,1,Brighton & Hove Albion,Jul 2024,,4-3-2003,"3-4-3, 4-2-3-1","Academy-fed, fluid possession football built through patient build-up and an aggressive high press/high line, with strong integration of young players.",Fluid possession press,Patient build-up,High press high line,64,62,45,60,55,42,45,58,75,72,68,55,68,45,50,52,72,58,"https://fbref.com, https://wyscout.com","Qualitative Scouting Synthesis. Sources: FBref, Wyscout. Continues Brighton's academy-fed, high-press possession model; strong youth integration.",Fabian Hurzeler,Germany
Approved,1,Chelsea,Jul 2026,,3-4-2-1 / 4-3-3,"4-2-3-1, 3-4-3","Progressive, structured positional play from a back three with inverted full-backs and an aggressive high-line counter-press, carried over from Leverkusen and Real Madrid; ratings extrapolated pending PL data.",Progressive positional play,Patient structured build-up,High line counter-press,66,65,48,58,60,45,50,58,72,68,65,52,65,50,55,58,75,38,"https://www.transfermarkt.com, https://totalfootballanalysis.com","Qualitative Scouting Synthesis. Sources: Transfermarkt, Total Football Analysis. Extrapolated from Leverkusen/Real Madrid tenure: back-three build-up, inverted full-backs, aggressive rest-defence.",Xabi Alonso,Spain
Approved,1,Coventry City,Nov 2024,,4-2-3-1,"4-3-3, 4-4-2","Balanced, pragmatic transitional football with a reactive mid-block, built on a player-empowerment management style; limited top-flight data as a newly promoted side.",Balanced transitional,Mixed progression,Mid-block reactive,50,42,55,52,50,50,55,50,48,45,45,50,50,50,55,45,55,32,https://www.transfermarkt.com,"Qualitative Scouting Synthesis. Sources: Transfermarkt, Championship match reports. Led promotion campaign with pragmatic, player-empowerment approach; limited top-flight data as newly promoted side.",Frank Lampard,England
Approved,1,Crystal Palace,Jun 2026,,4-3-2003,"4-2-3-1, 3-4-3","Progressive, possession-based attacking football with a mid-to-high press, extrapolated from his Lyon spell as a new appointment.",Progressive attacking football,Possession-based build-up,Mid-to-high press,58,55,50,55,58,48,50,55,60,55,52,50,55,48,50,50,62,42,https://www.transfermarkt.com,"Qualitative Scouting Synthesis. Sources: Ligue 1 tactical archive, Transfermarkt. New appointment; ratings extrapolated from Lyon spell emphasising progressive, possession-oriented football.",Pierre Sage,France
Approved,1,Everton,Jan 2025,,4-2-3-1 / 4-4-1-1,"3-5-2, 4-4-2","Long-standing pragmatic, direct football built on a deep, compact defensive block with low build-up risk and a veteran-leaning squad.",Pragmatic direct,Mixed/direct progression,Deep compact block,42,32,62,48,52,58,55,35,42,28,30,62,45,60,60,35,55,25,"https://fbref.com, https://www.optasports.com","Qualitative Scouting Synthesis. Sources: FBref, Opta. Long-standing pragmatic, defensively organised identity; low risk-taking in build-up, veteran-leaning squad.",David Moyes,Scotland
Approved,1,Fulham,Jun 2026,,4-3-2003,"4-2-3-1, 3-4-3","Structured, patient possession-based positional play from an organised mid-block, extrapolated from his Real Madrid Castilla academy philosophy in his first senior top-flight post.",Structured positional play,Patient build-up,Organised mid-block,55,52,48,52,55,45,48,50,55,50,50,52,52,48,50,45,50,55,https://www.transfermarkt.com,"Qualitative Scouting Synthesis. Sources: Transfermarkt, Real Madrid academy reports. First senior top-flight post; ratings extrapolated from Real Madrid Castilla possession-based youth philosophy - low confidence pending PL data.",Alvaro Arbeloa,Spain
