Status,Version,Team,Effective from,Effective to,Preferred formation,Alternative formations,Philosophy summary,Attacking style,Build up style,Defensive style,Possession tendency,Build up patience,Passing directness,Attacking tempo,Attacking width,Crossing tendency,Counterattack tendency,Attacking risk,Pressing intensity,Defensive block height,Defensive line height,Defensive compactness,Transition defence,Defensive aggression,Set piece emphasis,Rotation tendency,Tactical flexibility,Youth usage,Source urls,Research notes,Manager,Nationality
Approved,1.0,Atalanta,2026,,4-3-2003,"4-3-1-2, 4-2-3-1","The trademark 'Sarrismo' identity: patient, rehearsed positional possession patterns behind a high, coordinated defensive line, at his fifth different Serie A club.",Positional possession,Patient structured build-up,High line coordinated press,66,68,40,58,58,42,42,58,68,65,68,50,58,48,52,42,60,35,"https://fbref.com, https://totalfootballanalysis.com","Qualitative Scouting Synthesis. Sources: FBref, Total Football Analysis. Sarrismo identity: patient, rehearsed possession patterns and a high defensive line; fifth different Serie A club.",Maurizio Sarri,Italy
Approved,1.0,Bologna,2026,,4-2-3-1 / 3-4-3,"4-3-3, 3-5-2","Vertical, direct pressing football built on a high counter-press, extrapolated from his RB Leipzig and Belgium national team identity in his first Serie A post.",Vertical pressing,Direct/mixed progression,High counter-press,52,42,58,62,55,45,58,55,72,58,58,45,68,50,48,45,58,45,https://www.transfermarkt.com,"Qualitative Scouting Synthesis. Sources: Bundesliga/international archive, Transfermarkt. First Serie A post; ratings extrapolated from Leipzig/Belgium NT vertical pressing identity - low confidence.",Domenico Tedesco,Germany
Approved,1.0,Cagliari,2024,,4-3-3 / 3-5-2,"4-2-3-1, 5-3-2","Balanced, pragmatic football from a compact mid-block, promoted from Cagliari's academy setup with an above-average emphasis on youth integration.",Balanced pragmatic,Mixed progression,Compact mid-block,48,42,55,50,52,45,52,45,52,42,42,52,52,50,50,40,55,50,https://www.transfermarkt.com,"Qualitative Scouting Synthesis. Sources: Transfermarkt, Serie A archive. Promoted from Cagliari's academy setup; balanced approach with above-average youth integration.",Fabio Pisacane,Italy
Approved,1.0,Como,2024,,4-3-3 / 3-4-3,"4-2-3-1, 3-4-2-1","Modern, Guardiola-influenced positional possession football from a patient, progressive build-up and coordinated high press, credited with rapidly rebuilding Como's project.",Modern positional play,Patient progressive build-up,High press coordinated,62,60,42,58,58,42,45,58,68,62,60,50,60,45,52,48,65,45,"https://fbref.com, https://totalfootballanalysis.com","Qualitative Scouting Synthesis. Sources: FBref, Total Football Analysis. Progressive, Guardiola-influenced possession identity credited with rapid rebuild of Como's project.",Cesc Fabregas,Spain
Approved,1.0,Fiorentina,2026,,4-3-3 / 4-2-3-1,"3-4-3, 4-4-2","A progressive, expansive attacking approach from a coordinated mid-block, the same identity that delivered Sassuolo's promotion and a mid-table Serie A finish.",Progressive attacking,Mixed progression,Mid-block coordinated,56,52,48,55,58,45,48,55,58,52,50,50,55,48,50,48,58,42,https://www.transfermarkt.com,"Qualitative Scouting Synthesis. Sources: Transfermarkt, Serie B/A archive. Carries expansive, attacking approach that delivered Sassuolo's promotion and mid-table Serie A finish.",Fabio Grosso,Italy
Approved,1.0,Frosinone,2026,,3-5-2 / 4-3-1-2,"4-3-3, 5-3-2","Organised, pragmatic football from a compact deep block, extrapolated from a clear-identity Serie B promotion campaign as the side steps up to the top flight.",Organised pragmatic,Direct/mixed progression,Compact deep block,42,35,58,48,50,50,58,38,52,32,32,58,55,55,52,32,50,35,https://www.transfermarkt.com,"Qualitative Scouting Synthesis. Sources: Transfermarkt. Newly promoted; ratings extrapolated from organised, clear-identity Serie B promotion campaign - low confidence for top flight.",Massimiliano Alvini,Italy
Approved,1.0,Genoa,2025,,4-2-3-1 / 4-3-3,"3-4-3, 4-4-2","Balanced, transitional football from an organised mid-block, built on a pragmatic, player-relationship-driven approach continuing from his Roma tenure.",Balanced transitional,Mixed progression,Organised mid-block,50,45,55,52,52,45,55,48,55,45,45,54,55,50,52,42,58,40,https://www.transfermarkt.com,"Qualitative Scouting Synthesis. Sources: Transfermarkt, Serie A archive. Pragmatic, player-relationship-driven approach continuing at Genoa after Roma tenure.",Daniele De Rossi,Italy
Approved,1.0,Internazionale,2025,,3-5-2002,"3-4-3, 4-3-3","Structured possession football from a patient build-up behind a high, organised defensive line, refining Inter's back-three identity as the first foreign coach to win the Scudetto since Mourinho.",Structured possession,Patient build-up,High line organised press,60,60,45,55,55,42,48,55,62,58,58,50,55,45,55,40,62,42,"https://fbref.com, https://totalfootballanalysis.com","Qualitative Scouting Synthesis. Sources: FBref, Total Football Analysis (Serie A Scudetto-winning season). Refined Inter's back-three identity with patient circulation; first foreign Scudetto winner since Mourinho.",Cristian Chivu,Romania
Approved,1.0,Juventus,2025,,4-3-3 / 4-2-3-1,"3-4-2-1, 4-4-2","Progressive, patient, structured possession football behind a high coordinated press — the Scudetto-winning identity from his Napoli 2022/23 title now applied to Juventus's rebuild.",Progressive possession,Patient structured build-up,High line coordinated press,62,62,42,58,58,42,45,58,65,62,62,50,58,48,52,45,60,38,"https://fbref.com, https://totalfootballanalysis.com","Qualitative Scouting Synthesis. Sources: FBref, Total Football Analysis. Proven Scudetto-winning possession identity (Napoli 2022/23) applied to Juventus rebuild.",Luciano Spalletti,Italy
Approved,1.0,Lazio,2026,,4-3-3 / 4-2-3-1,"3-5-2, 4-4-2","High-energy, aggressive football defined by physical duels and rapid transitions behind an aggressive mid-to-high press, carried over from his national-team and club roles.",High-energy aggressive,Direct/mixed progression,Aggressive mid-to-high press,50,40,58,58,52,45,55,50,72,55,52,45,75,55,50,42,55,35,https://www.transfermarkt.com,"Qualitative Scouting Synthesis. Sources: Transfermarkt, Serie A archive (Milan/Napoli tenures). Known for intensity, physical duels and rapid transitions carried into national-team and club roles.",Gennaro Gattuso,Italy
