Status,Version,Team,Effective from,Effective to,Preferred formation,Alternative formations,Philosophy summary,Attacking style,Build up style,Defensive style,Possession tendency,Build up patience,Passing directness,Attacking tempo,Attacking width,Crossing tendency,Counterattack tendency,Attacking risk,Pressing intensity,Defensive block height,Defensive line height,Defensive compactness,Transition defence,Defensive aggression,Set piece emphasis,Rotation tendency,Tactical flexibility,Youth usage,Source urls,Research notes,Manager,Nationality
Approved,1.0,FC Augsburg,2026,,4-2-3-1,"4-4-2, 3-5-2","Pragmatic, direct football from a compact mid-block with a strong youth-development emphasis, extrapolated as he returns to club management from a Germany U20 role.",Pragmatic direct,Mixed progression,Compact mid-block,44,36,58,50,50,50,55,40,55,40,40,55,52,55,52,42,50,60,https://www.transfermarkt.com,Qualitative Scouting Synthesis. Sources: Transfermarkt. Return to club management from youth-national-team role; extrapolated pragmatic identity with strong youth-development emphasis - low confidence.,Manuel Baum,Germany
Approved,1.0,1. FC Union Berlin,2026,,4-2-3-1 / 3-5-2,"4-4-2, 5-3-2","Compact, pragmatic football from an organised deep-mid block, continuing Union Berlin's long-standing defensively disciplined identity after an internal interim appointment.",Compact pragmatic,Direct/mixed progression,Organised deep-mid block,42,35,58,48,50,48,58,38,55,35,35,58,58,55,50,38,52,45,https://www.transfermarkt.com,"Qualitative Scouting Synthesis. Sources: Transfermarkt. Interim appointment from within club staff; ratings extrapolated from Union Berlin's long-standing compact, defensively organised identity - low confidence.",Marie-Louise Eta,Germany
Approved,1.0,SV Werder Bremen,2026,,4-2-3-1,"4-3-3, 3-4-3","Balanced, pragmatic football from an organised mid-block, extrapolated from a second-tier record of promotion-calibre organisation and pragmatic game management.",Balanced pragmatic,Mixed progression,Organised mid-block,48,42,55,52,52,45,52,45,55,45,45,55,52,50,52,42,55,50,https://www.transfermarkt.com,"Qualitative Scouting Synthesis. Sources: Transfermarkt, Bundesliga 2 archive. Extrapolated from second-tier promotion-calibre organisation and pragmatic game management.",Daniel Thioune,Germany
Approved,1.0,Borussia Dortmund,2025,,4-2-3-1 / 3-4-3,"4-3-3, 3-5-2","Disciplined, pragmatic football built around a compact organised press, reflecting his track record of quickly imposing defensive structure at new clubs.",Disciplined pragmatic,Mixed/direct progression,Compact organised press,50,42,58,55,55,45,58,48,62,48,48,58,60,55,48,42,58,42,https://fbref.com,"Qualitative Scouting Synthesis. Sources: FBref, Bundesliga archive. Known for imposing defensive discipline and structure quickly at new clubs.",Niko Kovac,Croatia
Approved,1.0,Eintracht Frankfurt,2026,,4-2-3-1 / 4-3-3,"3-4-3, 4-4-2","Positional possession football with patient progression and a coordinated mid-block press, extrapolated from his possession-oriented spell at NK Celje in his first Bundesliga post.",Positional possession,Patient progression,Mid-block coordinated press,54,50,48,52,55,42,45,52,58,52,50,50,52,45,50,42,55,48,https://www.transfermarkt.com,Qualitative Scouting Synthesis. Sources: Transfermarkt. First Bundesliga post; ratings extrapolated from Celje's possession-oriented Slovenian league form - low confidence.,Albert Riera,Spain
Approved,1.0,SC Freiburg,2024,,4-3-3 / 3-4-3,"4-2-3-1, 5-3-2","Progressive possession football from a patient build-up and organised mid-block press, continuing Freiburg's academy-driven, tactically disciplined, overachieving identity.",Progressive possession,Patient build-up,Mid-block organised press,55,55,45,52,55,42,45,52,60,52,50,50,55,45,52,45,62,55,https://fbref.com,"Qualitative Scouting Synthesis. Sources: FBref, Bundesliga archive. Continues Freiburg's academy-driven, tactically disciplined, overachieving identity.",Julian Schuster,Germany
Approved,1.0,Hamburger SV,2024,,4-2-3-1,"4-3-3, 3-5-2","Balanced, pragmatic football from an organised mid-block, still taking shape as he builds a defined senior identity after being promoted from within following HSV's Bundesliga return.",Balanced pragmatic,Mixed progression,Organised mid-block,48,42,55,50,52,45,52,45,55,42,42,54,52,50,50,42,55,55,https://www.transfermarkt.com,Qualitative Scouting Synthesis. Sources: Transfermarkt. Promoted from within after HSV's Bundesliga return; still building a defined senior-level identity - low confidence.,Merlin Polzin,Germany
Approved,1.0,TSG Hoffenheim,2024,,4-2-3-1 / 4-3-3,"3-4-3, 4-4-2","High-tempo, attacking football built on an aggressive high press, carried over from his title-winning spell at Sturm Graz.",High-tempo attacking,Direct/mixed progression,High press aggressive,52,42,58,62,58,45,55,55,68,58,55,45,68,50,50,45,58,48,,"Qualitative Scouting Synthesis. Sources: Bundesliga/Austrian Bundesliga archive. Attacking, high-press identity carried over from title-winning Sturm Graz spell.",Christian Ilzer,Austria
Approved,1.0,1. FC Koln,2026,,4-2-3-1,"4-4-2, 3-5-2","Pragmatic, direct football from a compact mid-block, an internal interim appointment still awaiting a top-flight track record.",Pragmatic direct,Mixed progression,Compact mid-block,44,36,58,48,50,48,55,40,52,38,38,55,52,52,50,38,50,50,https://www.transfermarkt.com,Qualitative Scouting Synthesis. Sources: Transfermarkt. Interim appointment from within club staff - low confidence pending top-flight track record.,Rene Wagner,Germany
Approved,1.0,RB Leipzig,2026,,4-2-3-1 / 4-3-3,"3-4-3, 4-4-2","Vertical, direct football built on a high counter-press, the organised, high-intensity pressing identity he built at Werder Bremen now applied to a higher-calibre squad.",Vertical pressing,Direct progression,High counter-press,52,42,58,62,55,45,58,55,72,58,55,45,68,52,50,45,58,45,https://fbref.com,"Qualitative Scouting Synthesis. Sources: FBref, Bundesliga archive. Known for organised, high-intensity pressing built at Werder Bremen; now applying it to a higher-calibre squad.",Ole Werner,Germany
Approved,1.0,Bayer 04 Leverkusen,2026,,4-3-3 / 3-4-3,"4-2-3-1, 3-4-2-1","Progressive possession football from a patient build-up and coordinated high press, extrapolated from his flexible-formation Denmark national team approach in his first club post.",Progressive possession,Patient build-up,High press coordinated,58,55,45,55,58,42,45,58,65,58,58,48,60,48,50,45,60,42,https://www.transfermarkt.com,"Qualitative Scouting Synthesis. Sources: International tactical archive, Transfermarkt. First club post since Denmark NT; extrapolated possession-oriented, flexible-formation approach - low confidence.",Kasper Hjulmand,Denmark
Approved,1.0,1. FSV Mainz 05,2026,,3-5-2 / 4-2-3-1,"4-4-2, 5-3-2","Organised counterattacking football from an ultra-compact deep block, his trademark disciplined, overachieving defensive structure carried over from Union Berlin.",Organised counterattack,Direct/mixed progression,Ultra-compact deep block,44,35,58,48,50,50,58,38,55,35,35,60,55,55,52,38,52,42,https://fbref.com,"Qualitative Scouting Synthesis. Sources: FBref, Bundesliga archive (Union Berlin tenure). Trademark compact, disciplined, overachieving defensive structure.",Urs Fischer,Switzerland
Approved,1.0,Borussia Monchengladbach,2026,,4-2-3-1 / 4-3-3,"3-4-3, 4-4-2","Progressive possession football from a patient build-up and coordinated mid-block, with a strong emphasis on the academy pathway following his promotion from Gladbach's II side.",Progressive possession,Patient build-up,Mid-block coordinated,55,52,46,52,55,42,45,52,58,52,50,48,52,45,50,42,55,62,https://www.transfermarkt.com,Qualitative Scouting Synthesis. Sources: Transfermarkt. Promoted from Gladbach's II side; strong emphasis on academy pathway and possession principles - low confidence at senior level.,Eugen Polanski,Poland
Approved,1.0,FC Bayern Munchen,2024,,4-2-3-1 / 4-3-3,"3-4-3, 4-2-4","Guardiola-lineage elite possession-press football with a patient, high-intensity build-up and an extreme high defensive line, the identity that delivered the Bundesliga title.",Elite possession press,Patient high-intensity build-up,Extreme high line press,72,70,42,65,60,42,45,65,80,72,75,50,72,52,55,50,65,45,"https://fbref.com, https://www.optasports.com, https://totalfootballanalysis.com","Qualitative Scouting Synthesis. Sources: FBref, Opta, Total Football Analysis. Guardiola-lineage identity: dominant possession, aggressive pressing high line, delivering Bundesliga title.",Vincent Kompany,Belgium
Approved,1.0,FC Schalke 04,2026,,4-2-3-1 / 4-3-3,"3-5-2, 4-4-2","High-energy, direct football built on an aggressive mid-block press, carried over from pressing-oriented sides in the English lower divisions in his first Bundesliga post.",High-energy pressing,Direct/mixed progression,Aggressive mid-block press,48,38,58,58,52,45,55,50,68,50,48,48,65,50,50,42,55,45,https://www.transfermarkt.com,"Qualitative Scouting Synthesis. Sources: EFL Championship archive, Transfermarkt. First Bundesliga post; known for high-energy, pressing-oriented sides in English lower divisions - low confidence.",Miron Muslic,Bosnia and Herzegovina
