Status,Version,Team,Effective from,Effective to,Preferred formation,Alternative formations,Philosophy summary,Attacking style,Build up style,Defensive style,Possession tendency,Build up patience,Passing directness,Attacking tempo,Attacking width,Crossing tendency,Counterattack tendency,Attacking risk,Pressing intensity,Defensive block height,Defensive line height,Defensive compactness,Transition defence,Defensive aggression,Set piece emphasis,Rotation tendency,Tactical flexibility,Youth usage,Source urls,Research notes,Manager,Nationality
Approved,1.0,Alaves,2026,,4-2-3-1,"4-4-2, 5-3-2","Pragmatic, direct football from a compact mid-block, built on a long career of results-first management across several La Liga sides.",Pragmatic direct,Mixed progression,Compact mid-block,45,38,55,50,50,50,52,42,50,42,42,55,50,55,55,42,55,30,"https://www.transfermarkt.com, https://www.marca.com","Qualitative Scouting Synthesis. Sources: Transfermarkt, Marca. Long career of pragmatic, results-first management across several La Liga sides.",Quique Sanchez Flores,Spain
Approved,1.0,Athletic Club,2026,,4-2-3-1,"3-4-3, 4-3-3","Vertical, transition-heavy gegenpressing football with direct progression and a high counter-press, extrapolated from his Borussia Dortmund identity as he's new to Spanish football.",Vertical pressing transitions,Direct progression,High counter-press,55,42,60,65,58,45,62,55,75,58,58,45,72,52,45,45,58,45,https://www.transfermarkt.com,"Qualitative Scouting Synthesis. Sources: Bundesliga tactical archive, Transfermarkt. New to Spanish football; ratings extrapolated from Dortmund's vertical, transition-heavy gegenpress identity.",Edin Terzic,Germany
Approved,1.0,Atletico de Madrid,2011,,4-4-2 / 5-3-2,"4-3-3, 3-5-2","The 'Cholismo' identity: extreme defensive organisation from an ultra-compact low block with ruthless counterattacking transitions, the hallmark of Europe's longest-serving top-five-league manager.",Compact counterattack,Direct progression,Ultra-organised low block,42,32,60,48,48,52,68,35,55,22,25,68,48,72,58,42,55,30,"https://fbref.com, https://www.optasports.com, https://totalfootballanalysis.com","Qualitative Scouting Synthesis. Sources: FBref, Opta, Total Football Analysis. Cholismo identity: extreme defensive organisation, low block, ruthless transitions; longest-serving manager in Europe's top five leagues.",Diego Simeone,Argentina
Approved,1.0,Osasuna,2026,,4-4-2 / 4-2-3-1,"5-3-2, 4-3-3","Pragmatic, physical football from a compact mid-to-low block, extrapolated from an Espanyol tenure built on defensive solidity for a modest-budget side.",Pragmatic physical,Direct progression,Compact mid-to-low block,42,32,58,48,50,52,58,35,55,32,35,58,55,58,50,35,50,32,https://www.transfermarkt.com,Qualitative Scouting Synthesis. Sources: Transfermarkt. Extrapolated from Espanyol tenure emphasising physicality and defensive solidity for a modest-budget side.,Miguel Ramis Luis,Spain
Approved,1.0,Celta de Vigo,2024,,4-3-2003,"4-2-3-1, 3-4-3","Progressive, possession-based football from a patient build-up and coordinated mid-block press, the identity of a homegrown academy coach with strong youth-pathway usage.",Progressive possession,Patient build-up,Mid-block coordinated press,60,60,45,55,55,42,45,55,60,55,52,52,58,45,48,45,65,55,https://fbref.com,"Qualitative Scouting Synthesis. Sources: FBref, LaLiga tactical archive. Homegrown academy coach known for progressive, possession-based football and strong youth pathway usage.",Claudio Giraldez,Spain
Approved,1.0,Elche,2024,,4-3-3 / 3-4-3,"4-2-3-1, 3-4-2-1","Positional possession football from a patient, structured build-up and a coordinated high line, rooted in a coaching lineage tied to Barcelona and Betis's positional-play philosophy.",Positional possession,Patient structured build-up,High-line coordinated press,58,58,42,52,55,40,42,55,58,55,55,50,52,42,48,42,58,42,https://www.transfermarkt.com,"Qualitative Scouting Synthesis. Sources: Transfermarkt, LaLiga archive. Coaching lineage tied to positional-play philosophy from prior staff roles at Barcelona/Betis.",Martin Anselmi,Spain
Approved,1.0,Barcelona,2024,,4-3-3 / 3-2-4-1,"4-2-3-1, 3-4-3","Elite positional possession with an ultra-patient build-up and an extreme, high-intensity high-line press, the signature identity carried over from Bayern Munich and the Germany national team.",Elite positional possession,Ultra-patient build-up,Extreme high line press,78,78,38,68,62,40,42,68,85,78,80,48,80,55,55,52,68,42,"https://fbref.com, https://www.optasports.com, https://totalfootballanalysis.com","Qualitative Scouting Synthesis. Sources: FBref, Opta, Total Football Analysis. Signature high-line, high-intensity possession press carried from Bayern/Germany NT.",Hansi Flick,Germany
Approved,1.0,Getafe,2023,,4-4-2 / 5-3-2,"4-1-4-1, 3-5-2","One of La Liga's most distinctive physical, foul-heavy identities: direct, long-ball football from an ultra-aggressive deep block, with extremely low rotation and youth usage.",Direct physical,Direct/long progression,Ultra-aggressive deep block,35,25,68,45,48,58,55,30,60,25,28,62,80,68,42,30,45,20,"https://fbref.com, https://www.optasports.com","Qualitative Scouting Synthesis. Sources: FBref, Opta. One of La Liga's most distinctive physical, foul-heavy, deep-block identities; extremely low rotation and youth usage.",Jose Bordalas Jimenez,Spain
Approved,1.0,Levante,2025,,4-2-3-1 / 4-3-3,"3-4-3, 4-4-2","A progressive, expansive attacking approach from an organised mid-block, carried over from his Nantes and Shakhtar tenures when resources allow.",Progressive attacking,Mixed progression,Mid-block organised,55,50,50,55,58,48,50,55,58,50,48,52,52,48,50,45,58,40,https://www.transfermarkt.com,"Qualitative Scouting Synthesis. Sources: Transfermarkt, Ligue 1 archive (Nantes/Shakhtar tenure). Known for expansive, attacking-minded approach when resources allow.",Luis Castro,Portugal
Approved,1.0,Malaga,2025,,4-2-3-1,"4-4-2, 5-3-2","Pragmatic, organised football from a compact mid-block, extrapolated from a Segunda Division promotion campaign as he steps up to the top flight.",Pragmatic organised,Mixed progression,Compact mid-block,45,40,55,48,50,48,50,42,50,40,40,52,52,50,50,40,52,50,https://www.transfermarkt.com,Qualitative Scouting Synthesis. Sources: Transfermarkt. Promoted-club coach; ratings extrapolated from Segunda Division promotion campaign - low confidence pending top-flight data.,Juan Funes,Spain
Approved,1.0,Racing de Santander,2022,,4-4-2 / 4-2-3-1,"3-5-2, 4-3-3","Pragmatic, direct football from an organised mid-block; a promoted-club coach with a still-limited top-flight sample.",Pragmatic direct,Mixed progression,Organised mid-block,45,38,55,48,50,48,52,42,52,40,40,52,52,48,48,38,50,40,https://www.transfermarkt.com,Qualitative Scouting Synthesis. Sources: Transfermarkt. Promoted-club coach; limited top-flight sample - low confidence.,Jose Lopez,Spain
Approved,1.0,Rayo Vallecano,2026,,4-2-3-1 / 4-4-2,"5-3-2, 3-4-3","High-energy, aggressive football built on man-marking and a high press, preserving Rayo Vallecano's trademark club identity under a new coach.",High-energy aggressive,Direct progression,Man-marking high press,48,35,58,58,52,48,58,50,80,55,50,45,80,55,52,40,55,42,https://www.transfermarkt.com,"Qualitative Scouting Synthesis. Sources: Transfermarkt. Ratings extrapolated to preserve Rayo's trademark man-marking, high-pressing club identity under a new coach.",Benat San Jose,Spain
